,Issuer Name,trend,daysSinceCutOver,trendnature,singleCandlePattern,RSI,Close,Signal
257,APOLLOHOSP,1,21,Expanding,,80.95448519664163,1674.6,-1
258,EVERESTIND,-1,4,Contracting,,49.547218628719264,207.9,-1
259,NAVNETEDUL,-1,8,Contracting,,33.027522935779785,73.65,-1
260,VISAKAIND,1,73,Contracting,,62.67392619479732,273.05,-1
261,PRESSMN,-1,9,Contracting,,20.79207920792082,17.4,-1
262,GUFICBIO,1,42,Expanding,,63.12796208530804,98.0,0
263,PTL,1,46,Contracting,,54.06698564593302,37.5,-1
264,TVSSRICHAK,1,2,Expanding,,54.77344925597722,1427.6,0
265,BERGEPAINT,1,44,Expanding,,67.89716545814105,526.5,0
266,GRAPHITE,-1,34,Contracting,,33.86155129274394,164.95,-1
267,ITDCEM,-1,7,Contracting,,33.21033210332105,45.25,-1
268,HEG,-1,24,Contracting,,40.50732629588782,733.25,-1
269,HINDCOMPOS,-1,1,Contracting,,51.59183673469388,161.4,-1
270,HIL,1,67,Contracting,,57.49999999999999,1239.55,-1
271,PAPERPROD,1,32,Expanding,,80.51948051948052,242.25,-1
272,SHALPAINTS,-1,17,Contracting,,39.215686274509814,57.35,-1
273,SUPREMEIND,1,46,Expanding,,67.10737179487182,1289.3,0
274,VSTIND,1,1,Contracting,,48.235191333216825,3247.65,-1
275,JINDRILL,,,,,,0.0,0
276,DHFL,-1,14,Contracting,,34.027777777777786,13.6,-1
277,CANFINHOME,1,43,Contracting,,52.45424292845257,365.4,-1
278,IVC,,,,,,0.0,0
279,CHOLAFIN,1,43,Contracting,,52.09860093271152,202.5,-1
280,VLSFINANCE,1,44,Contracting,,46.19289340101523,50.9,-1
281,VAKRANGEE,-1,16,Expanding,,34.46969696969697,28.25,-1
282,INDBANK,-1,12,Contracting,,25.925925925925924,6.6,-1
283,GICHSGFIN,-1,1,Contracting,,31.451612903225808,88.3,-1
284,UPL,1,50,Expanding,,55.710102489019036,478.15,0
285,SUNTECK,1,2,Expanding,,48.418631397354815,187.05,0
286,JAICORPLTD,-1,1,Contracting,,41.97730956239872,87.0,-1
