,Issuer Name,trend,daysSinceCutOver,trendnature,singleCandlePattern,RSI,Close,Signal
825,INFRATEL,-1,16,Contracting,,25.898752751283922,192.1,-1
826,VMART,1,42,Contracting,,41.99184624344783,1796.0,-1
827,REPCOHOME,1,33,Expanding,,65.64805057955743,146.3,0
828,JUSTDIAL,-1,18,Contracting,,38.87240356083081,366.75,-1
829,ORIENTCEM,-1,3,Contracting,,45.939675174013956,64.35,-1
830,IBULHSGFIN,-1,2,Contracting,,31.836734693877546,190.0,-1
831,FLFL,-1,18,Expanding,Bear Marubozo|SL:126.0,35.20325203252031,115.0,-1
832,JPOLYINVST,,,,,,0.0,0
833,M100,1,46,Expanding,,45.60669456066944,16.3,0
834,KOTAKNIFTY,1,47,Contracting,,66.4141414141414,115.35,-1
835,CPSEETF,-1,2,Contracting,,42.156862745097975,17.3,-1
836,WONDERLA,1,1,Contracting,,43.43434343434343,136.65,-1
837,GULFOILLUB,-1,24,Contracting,,54.77683511619326,572.35,-1
838,SNOWMAN,-1,1,Contracting,,23.17073170731709,29.55,-1
839,SHARDACROP,1,47,Contracting,,56.262135922330096,294.8,-1
840,SHEMAROO,-1,54,Contracting,,52.60545905707197,56.9,-1
841,PDSMFL,-1,5,Contracting,,29.682365826944064,262.1,-1
842,INTELLECT,1,43,Expanding,,80.77723802914642,159.85,-1
843,MONTECARLO,-1,3,Contracting,,50.41551246537398,155.5,-1
844,MINDACORP,-1,4,Contracting,,37.892376681614344,66.8,-1
845,INOXWIND,-1,7,Contracting,,28.804347826086968,34.6,-1
846,BINDALAGRO,-1,10,Contracting,,12.698412698412696,9.65,-1
847,PRICOLLTD,1,7,Expanding,,73.37461300309597,49.1,0
848,TATAMTRDVR,-1,12,Contracting,,33.48623853211011,37.5,-1
849,JISLDVREQS,,,,,,0.0,0
850,KARURVYSYA,1,2,Expanding,,46.82926829268292,34.55,0
851,TIDEWATER,1,45,Contracting,,53.32970916009797,4229.0,-1
852,AMRUTANJAN,1,15,Expanding,,76.10789980732179,430.2,0
853,XPROINDIA,,,,,,0.0,0
854,BHARATRAS,1,47,Contracting,,64.77677862617456,9370.3,-1
855,FACT,,,,,,47.1,-1
856,GINNIFILA,,,,,,0.0,0
857,SPIC,,,,,,21.0,-1
858,DENORA,1,1,Expanding,,42.10139603232916,231.5,1
859,HARITASEAT,-1,1,Contracting,,53.028169014084476,371.4,-1
860,SAKSOFT,1,48,Expanding,,64.21243210621606,240.65,0
861,ANDHRSUGAR,1,44,Expanding,,66.66666666666663,329.75,0
862,IMPAL,1,49,Contracting,,47.87123572170305,520.0,-1
863,KCP,1,41,Contracting,,59.17312661498709,57.2,-1
864,SUNDARMFIN,-1,15,Expanding,,30.584795321637387,1277.75,-1
865,SUNDRMBRAK,-1,5,Contracting,,35.02890173410407,222.0,-1
866,WHEELS,-1,23,Contracting,,26.376614547926607,410.8,-1
867,MAITHANALL,-1,5,Contracting,,23.504273504273527,426.5,-1
868,ORISSAMINE,1,57,Expanding,,68.14000716760242,1754.75,0
869,NIFTYBEES,1,47,Contracting,,66.28762541806017,118.02,-1
870,JUNIORBEES,1,51,Contracting,,55.26524148851946,279.66,-1
871,BANKBEES,1,44,Contracting,,40.647100424328144,217.89,-1
872,KOTAKPSUBK,-1,5,Contracting,,30.55123014637188,138.95,-1
873,PSUBNKBEES,-1,5,Contracting,,26.702997275204382,15.49,-1
874,M50,1,46,Contracting,,60.72255673923115,108.5,-1
875,MADRASFERT,,,,,,17.45,-1
